 DANE ; DEPARTAMENTO ; MUNICIPIO ; COD EPS ; NOMBRE EPS ; NIT IPS ; NOMBRE IPS ; FORMA DE CONTRATACIÓN ; VALOR ORDENADO $ ;" TOTAL GIRO 
 NOVIEMBRE 2024 $ "
05088;ANTIOQUIA;BELLO;EPSS40;Savia Salud;800174995;EMPRESA SOCIAL DEL ESTADO BELLO SALUD;Capitación ; 2,172,352,038.00   ; 2,172,352,038.00   
05091;ANTIOQUIA;BETANIA;EPSS10;Suramericana;890981494;E.S.E. HOSPITAL SAN ANTONIO DE BETANIA;Capitación ; 35,840,232.00   ; 35,840,232.00   
05091;ANTIOQUIA;BETANIA;EPSS40;Savia Salud;890981494;E.S.E. HOSPITAL SAN ANTONIO DE BETANIA;Capitación ; 84,731,105.00   ; 84,731,105.00   
05093;ANTIOQUIA;BETULIA;EPSS40;Savia Salud;890982116;E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ;Capitación ; 334,483,044.00   ; 334,483,044.00   
05101;ANTIOQUIA;BOLIVAR;EPSS37;Nueva Eps;890907241;E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR;Capitación ; 41,741,568.00   ; 41,741,568.00   
05101;ANTIOQUIA;BOLIVAR;EPSS40;Savia Salud;890907241;E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR;Capitación ; 175,484,735.00   ; 175,484,735.00   
05101;ANTIOQUIA;BOLIVAR;ESS024;Coosalud;890907241;E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR;Capitación ; 197,202,576.00   ; 197,202,576.00   
05107;ANTIOQUIA;BRICEÑO;EPSS40;Savia Salud;800044320;EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON;Capitación ; 33,963,783.00   ; 33,963,783.00   
05107;ANTIOQUIA;BRICEÑO;ESS024;Coosalud;800044320;EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON;Capitación ; 89,973,936.00   ; 89,973,936.00   
05113;ANTIOQUIA;BURITICA;EPSS40;Savia Salud;890983843;ESE HOSPITAL SAN ANTONIO;Capitación ; 115,935,430.00   ; 115,935,430.00   
05113;ANTIOQUIA;BURITICA;ESS024;Coosalud;890983843;ESE HOSPITAL SAN ANTONIO;Capitación ; 11,137,467.00   ; 11,137,467.00   
05120;ANTIOQUIA;CACERES;EPSS37;Nueva Eps;890982430;EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA;Capitación ; 6,417,024.00   ; 6,417,024.00   
05120;ANTIOQUIA;CACERES;ESS024;Coosalud;890982430;EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA;Capitación ; 422,772,493.00   ; 422,772,493.00   
05125;ANTIOQUIA;CAICEDO;EPSS40;Savia Salud;800037244;E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA;Capitación ; 222,932,003.00   ; 222,932,003.00   
05129;ANTIOQUIA;CALDAS;EPSS40;Savia Salud;890907215;E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE CALDAS;Capitación ; 247,332,180.00   ; 247,332,180.00   
05134;ANTIOQUIA;CAMPAMENTO;EPSS40;Savia Salud;890985457;E.S.E. HOSPITAL LA SAGRADA FAMILIA;Capitación ; 142,153,936.00   ; 142,153,936.00   
05138;ANTIOQUIA;CAÑASGORDAS;EPSS37;Nueva Eps;890980784;E.S.E. HOSPITAL SAN CARLOS;Capitación ; 20,189,192.00   ; 20,189,192.00   
05138;ANTIOQUIA;CAÑASGORDAS;EPSS40;Savia Salud;890980784;E.S.E. HOSPITAL SAN CARLOS;Capitación ; 251,309,262.00   ; 251,309,262.00   
05142;ANTIOQUIA;CARACOLI;EPSS40;Savia Salud;890981266;E.S.E. HOSPITAL SAN PIO X;Capitación ; 63,645,912.00   ; 63,645,912.00   
05145;ANTIOQUIA;CARAMANTA;EPSS40;Savia Salud;890981163;E.S.E. HOSPITAL SAN ANTONIO;Capitación ; 67,051,365.00   ; 67,051,365.00   
05147;ANTIOQUIA;CAREPA;EPSS37;Nueva Eps;800227877;EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ;Capitación ; 31,809,926.00   ; 31,809,926.00   
05147;ANTIOQUIA;CAREPA;EPSS37;Nueva Eps;811045925;SALUD DARIEN I.P.S. S.A.;Capitación ; 47,726,019.00   ; 47,726,019.00   
05147;ANTIOQUIA;CAREPA;EPSS40;Savia Salud;800227877;EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ;Capitación ; 561,115,977.00   ; 561,115,977.00   
05147;ANTIOQUIA;CAREPA;EPSS41;Nueva Eps;800227877;EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ;Capitación ; 78,656,236.00   ; 78,656,236.00   
05147;ANTIOQUIA;CAREPA;ESS024;Coosalud;800227877;EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ;Capitación ; 51,626,648.00   ; 51,626,648.00   
05148;ANTIOQUIA;CARMEN DE VIBORAL;EPSS10;Suramericana;890907279;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS;Capitación ; 41,955,840.00   ; 41,955,840.00   
05148;ANTIOQUIA;CARMEN DE VIBORAL;EPSS37;Nueva Eps;890907279;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS;Capitación ; 106,098,458.00   ; 106,098,458.00   
05148;ANTIOQUIA;CARMEN DE VIBORAL;EPSS40;Savia Salud;890907279;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS;Capitación ; 249,922,950.00   ; 249,922,950.00   
05154;ANTIOQUIA;CAUCASIA;EPSS40;Savia Salud;890980757;ESE HOSPITAL CESAR URIBE PIEDRAHITA;Capitación ; 416,582,874.00   ; 416,582,874.00   
05154;ANTIOQUIA;CAUCASIA;ESS024;Coosalud;890980757;ESE HOSPITAL CESAR URIBE PIEDRAHITA;Capitación ; 608,611,276.00   ; 608,611,276.00   
05172;ANTIOQUIA;CHIGORODO;CCF033;Familiar de Colombia;890980997;EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA;Capitación ; 14,404,003.00   ; 14,404,003.00   
05172;ANTIOQUIA;CHIGORODO;EPSI03;Asociación Indígena del Cauca;890980997;EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA;Capitación ; 62,606,993.00   ; 62,606,993.00   
05172;ANTIOQUIA;CHIGORODO;EPSS37;Nueva Eps;811045925;SALUD DARIEN I.P.S. S.A.;Capitación ; 69,844,537.00   ; 69,844,537.00   
05172;ANTIOQUIA;CHIGORODO;EPSS40;Savia Salud;890980997;EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA;Capitación ; 608,003,535.00   ; 608,003,535.00   
05190;ANTIOQUIA;CISNEROS;EPSS37;Nueva Eps;890980444;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO;Capitación ; 21,861,570.00   ; 21,861,570.00   
05190;ANTIOQUIA;CISNEROS;EPSS40;Savia Salud;890980444;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO;Capitación ; 115,115,021.00   ; 115,115,021.00   
05197;ANTIOQUIA;COCORNA;EPSS37;Nueva Eps;890981108;ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA;Capitación ; 52,262,496.00   ; 52,262,496.00   
05197;ANTIOQUIA;COCORNA;EPSS40;Savia Salud;890981108;ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA;Capitación ; 225,639,533.00   ; 225,639,533.00   
05206;ANTIOQUIA;CONCEPCION;EPSS40;Savia Salud;890980512;ESE HOSPITAL JOSE MARIA CORDOBA;Capitación ; 44,896,239.00   ; 44,896,239.00   
05209;ANTIOQUIA;CONCORDIA;EPSS40;Savia Salud;890907297;ESE HOSPITAL SAN JUAN DE DIOS;Capitación ; 265,822,332.00   ; 265,822,332.00   
05212;ANTIOQUIA;COPACABANA;EPSS37;Nueva Eps;890980949;ESE HOSPITAL SANTA MARGARITA;Capitación ; 24,436,608.00   ; 24,436,608.00   
05212;ANTIOQUIA;COPACABANA;EPSS40;Savia Salud;890980949;ESE HOSPITAL SANTA MARGARITA;Capitación ; 334,585,535.00   ; 334,585,535.00   
05234;ANTIOQUIA;DABEIBA;EPSI03;Asociación Indígena del Cauca;890984670;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO;Capitación ; 10,746,544.00   ; 10,746,544.00   
05234;ANTIOQUIA;DABEIBA;EPSS37;Nueva Eps;890984670;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO;Capitación ; 9,890,760.00   ; 9,890,760.00   
05234;ANTIOQUIA;DABEIBA;ESS024;Coosalud;890984670;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO;Capitación ; 371,008,740.00   ; 371,008,740.00   
05237;ANTIOQUIA;DON MATIAS;EPSS40;Savia Salud;890905097;E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA;Capitación ; 130,641,450.00   ; 130,641,450.00   
05240;ANTIOQUIA;EBEJICO;EPSS40;Savia Salud;890982370;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL;Capitación ; 144,788,308.00   ; 144,788,308.00   
05250;ANTIOQUIA;EL BAGRE;EPSS40;Savia Salud;800138311;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN;Capitación ; 126,285,102.00   ; 126,285,102.00   
05250;ANTIOQUIA;EL BAGRE;ESS024;Coosalud;800138311;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN;Capitación ; 454,162,530.00   ; 454,162,530.00   
05264;ANTIOQUIA;ENTRERRIOS;EPSS37;Nueva Eps;890984779;ESE HOSPITAL PRESBITERO EMIGDIO PALACIO;Capitación ; 15,801,027.00   ; 15,801,027.00   
05264;ANTIOQUIA;ENTRERRIOS;EPSS40;Savia Salud;890984779;ESE HOSPITAL PRESBITERO EMIGDIO PALACIO;Capitación ; 46,213,412.00   ; 46,213,412.00   
05266;ANTIOQUIA;ENVIGADO;EPSS40;Savia Salud;890906347;ESE HOSPITAL MANUEL URIBE ANGEL;Capitación ; 349,745,598.00   ; 349,745,598.00   
05282;ANTIOQUIA;FREDONIA;EPSS37;Nueva Eps;890980181;ESE HOSPITAL DE SANTA LUCIA;Capitación ; 31,451,364.00   ; 31,451,364.00   
05282;ANTIOQUIA;FREDONIA;EPSS40;Savia Salud;890980181;ESE HOSPITAL DE SANTA LUCIA;Capitación ; 216,152,587.00   ; 216,152,587.00   
05284;ANTIOQUIA;FRONTINO;EPSI03;Asociación Indígena del Cauca;890906991;EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE;Capitación ; 76,556,479.00   ; 76,556,479.00   
05284;ANTIOQUIA;FRONTINO;EPSS40;Savia Salud;890906991;EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE;Capitación ; 54,447,544.00   ; 54,447,544.00   
05284;ANTIOQUIA;FRONTINO;ESS024;Coosalud;890906991;EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE;Capitación ; 262,131,131.00   ; 262,131,131.00   
05306;ANTIOQUIA;GIRALDO;ESS024;Coosalud;800193392;E.S.E. HOSPITAL SAN ISIDRO;Capitación ; 60,525,000.00   ; 60,525,000.00   
05308;ANTIOQUIA;GIRARDOTA;EPSS37;Nueva Eps;900054549;ORAL MEDIC SERVICIOS S A S;Capitación ; 9,835,373.00   ; 9,835,373.00   
05308;ANTIOQUIA;GIRARDOTA;EPSS40;Savia Salud;890980727;E.S.E. HOSPITAL SAN RAFAEL;Capitación ; 258,381,306.00   ; 258,381,306.00   
05310;ANTIOQUIA;GOMEZ PLATA;EPSS37;Nueva Eps;890902151;E.S.E. HOSPITAL SANTA ISABEL;Capitación ; 18,129,690.00   ; 18,129,690.00   
05310;ANTIOQUIA;GOMEZ PLATA;EPSS40;Savia Salud;890902151;E.S.E. HOSPITAL SANTA ISABEL;Capitación ; 93,746,283.00   ; 93,746,283.00   
05313;ANTIOQUIA;GRANADA;EPSS10;Suramericana;890981182;ESE HOSPITAL PADRE CLEMENTE GIRALDO;Capitación ; 38,222,800.00   ; 38,222,800.00   
05313;ANTIOQUIA;GRANADA;EPSS40;Savia Salud;890981182;ESE HOSPITAL PADRE CLEMENTE GIRALDO;Capitación ; 116,316,220.00   ; 116,316,220.00   
05315;ANTIOQUIA;GUADALUPE;EPSS40;Savia Salud;890981690;E.S.E. NUESTRA SEÑORA DE GUADALUPE;Capitación ; 80,206,575.00   ; 80,206,575.00   
05318;ANTIOQUIA;GUARNE;EPSS37;Nueva Eps;890981719;E.S.E. NUETRA SEÑORA DE LA CANDELARIA;Capitación ; 46,975,950.00   ; 46,975,950.00   
05318;ANTIOQUIA;GUARNE;EPSS40;Savia Salud;890981719;E.S.E. NUETRA SEÑORA DE LA CANDELARIA;Capitación ; 269,458,861.00   ; 269,458,861.00   
05321;ANTIOQUIA;GUATAPE;EPSS37;Nueva Eps;890981817;E.S.E. HOSPITAL LA INMACULADA;Capitación ; 17,355,632.00   ; 17,355,632.00   
05321;ANTIOQUIA;GUATAPE;EPSS40;Savia Salud;890981817;E.S.E. HOSPITAL LA INMACULADA;Capitación ; 79,482,617.00   ; 79,482,617.00   
05347;ANTIOQUIA;HELICONIA;EPSS40;Savia Salud;890981074;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL;Capitación ; 81,842,931.00   ; 81,842,931.00   
05353;ANTIOQUIA;HISPANIA;ESS024;Coosalud;800068653;ESE HOSPITAL SAN JUAN DEL SUROESTE;Capitación ; 39,318,828.00   ; 39,318,828.00   
05360;ANTIOQUIA;ITAGUI;EPSS10;Suramericana;800071541;INVERSIONES EN SALUD SAS;Capitación ; 135,380,476.00   ; 135,380,476.00   
05360;ANTIOQUIA;ITAGUI;EPSS10;Suramericana;900211678;IPS COBERTURA INTEGRAL EN SALUD SA COBERSALUD;Capitación ; 34,479,305.00   ; 34,479,305.00   
05360;ANTIOQUIA;ITAGUI;EPSS40;Savia Salud;811017810;E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA;Capitación ; 913,787,045.00   ; 913,787,045.00   
05361;ANTIOQUIA;ITUANGO;EPSS37;Nueva Eps;890980840;ESE HOSPITAL SAN JUAN DE DIOS;Capitación ; 23,112,458.00   ; 23,112,458.00   
05361;ANTIOQUIA;ITUANGO;EPSS40;Savia Salud;890980840;ESE HOSPITAL SAN JUAN DE DIOS;Capitación ; 513,827,056.00   ; 513,827,056.00   
05364;ANTIOQUIA;JARDIN;EPSS37;Nueva Eps;890980732;ESE HOSPITAL GABRIEL PELAEZ MONTOYA;Capitación ; 22,539,442.00   ; 22,539,442.00   
05364;ANTIOQUIA;JARDIN;EPSS40;Savia Salud;890980732;ESE HOSPITAL GABRIEL PELAEZ MONTOYA;Capitación ; 172,804,690.00   ; 172,804,690.00   
05368;ANTIOQUIA;JERICO;ESS024;Coosalud;890980765;NUEVA ESE HOSPITAL SAN RAFAEL JERICO;Capitación ; 122,234,749.00   ; 122,234,749.00   
05376;ANTIOQUIA;LA CEJA;EPSS10;Suramericana;890980758;ESE HOSPITAL DE LA CEJA;Capitación ; 33,272,981.00   ; 33,272,981.00   
05376;ANTIOQUIA;LA CEJA;EPSS37;Nueva Eps;890980758;ESE HOSPITAL DE LA CEJA;Capitación ; 64,251,800.00   ; 64,251,800.00   
05376;ANTIOQUIA;LA CEJA;EPSS40;Savia Salud;890980758;ESE HOSPITAL DE LA CEJA;Capitación ; 137,273,754.00   ; 137,273,754.00   
05380;ANTIOQUIA;LA ESTRELLA;EPSS37;Nueva Eps;800138968;EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA;Capitación ; 14,207,544.00   ; 14,207,544.00   
05380;ANTIOQUIA;LA ESTRELLA;EPSS40;Savia Salud;800138968;EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA;Capitación ; 199,639,637.00   ; 199,639,637.00   
05390;ANTIOQUIA;LA PINTADA;EPSS37;Nueva Eps;811013792;EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR;Capitación ; 21,276,171.00   ; 21,276,171.00   
05390;ANTIOQUIA;LA PINTADA;EPSS40;Savia Salud;811013792;EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR;Capitación ; 97,580,061.00   ; 97,580,061.00   
05400;ANTIOQUIA;LA UNION;EPSS40;Savia Salud;890980866;E.S.E. HOSPITAL SAN ROQUE - LA UNION;Capitación ; 170,466,748.00   ; 170,466,748.00   
05411;ANTIOQUIA;LIBORINA;EPSS40;Savia Salud;890982139;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO;Capitación ; 160,455,643.00   ; 160,455,643.00   
05425;ANTIOQUIA;MACEO;EPSS40;Savia Salud;890906966;EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA;Capitación ; 114,334,492.00   ; 114,334,492.00   
05440;ANTIOQUIA;MARINILLA;EPSS37;Nueva Eps;890980752;E.S.E. SAN JUAN DE DIOS DE MARINILLA;Capitación ; 76,260,040.00   ; 76,260,040.00   
05440;ANTIOQUIA;MARINILLA;EPSS40;Savia Salud;890980752;E.S.E. SAN JUAN DE DIOS DE MARINILLA;Capitación ; 422,648,724.00   ; 422,648,724.00   
05467;ANTIOQUIA;MONTEBELLO;EPSS40;Savia Salud;890981096;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO;Capitación ; 137,358,677.00   ; 137,358,677.00   
05475;ANTIOQUIA;MURINDO;EPSS40;Savia Salud;800165050;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ;Capitación ; 64,814,750.00   ; 64,814,750.00   
